source_file,source_row,designators,qty_per_board,build_quantity,required_qty,manufacturer,mpn,description,supplier,supplier_part_number,unit_price,subtotal,lifecycle_status,build_multiplier,status,notes,selected_supplier,supplier_order_qty,mouser_stock,digikey_stock,sourcing_status,sourcing_notes,partsbox_match_status,partsbox_match_notes
DCD-BEC-150-12-150-3-x4.csv,33,HS1,1,5,5,,960-19-18-F-AB-0,Heatsink 19mm x 19mm,,,,,,,missing_manufacturer,missing manufacturer,,,0,0,check_wall_inventory,Neither Mouser nor DigiKey can cover full required quantity.,unmatched,No PartsBox part matched MPN/manufacturer.
DCD-BEC-150-12-150-3-x4.csv,42,"R1, R3",2,5,10,,ERJ-3EKF2200V,Resistor Thick Film 0603 220 Ohm 1% 1/10W 100ppm/C Molded SMD Punched Carrier T/R,,667-ERJ-3EKF2200V,$0.10,,,,missing_manufacturer,missing manufacturer,Mouser,10,17155,0,sourced_mouser,Mouser can cover full required quantity.,unmatched,No PartsBox part matched MPN/manufacturer.
DCD-BEC-150-12-150-3-x4.csv,43,R2,1,5,5,,ERJ-3EKF1000V,RES SMD 100 OHM 1% 1/10W 0603,,667-ERJ-3EKF1000V,$0.10,,,,missing_manufacturer,missing manufacturer,Mouser,5,454219,0,sourced_mouser,Mouser can cover full required quantity.,unmatched,No PartsBox part matched MPN/manufacturer.
DCD-BEC-150-12-150-3-x4.csv,50,"R13, R22, R23",3,5,15,,ERJ-3EKF7151V,"7.15 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], SMD Chip Resistor, Thick Film, Precision",,667-ERJ-3EKF7151V,$0.10,,,,missing_manufacturer,missing manufacturer,Mouser,15,24635,0,sourced_mouser,Mouser can cover full required quantity.,unmatched,No PartsBox part matched MPN/manufacturer.
DCD-BEC-150-12-150-3-x4.csv,63,R64,1,5,5,,ERJ-3EKF47R0V,"47 Ohms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film",,667-ERJ-3EKF47R0V,$0.10,,,,missing_manufacturer,missing manufacturer,Mouser,5,11330,0,sourced_mouser,Mouser can cover full required quantity.,unmatched,No PartsBox part matched MPN/manufacturer.
DCD-BEC-150-12-150-3-x4.csv,68,R84,1,5,5,,ERA-3AEB363V,Res Thin Film 0603 36K Ohm 0.1% 0.1W ±25ppm/°C Molded SMD Punched Carrier T/R,,667-ERA-3AEB363V,$0.10,,,,missing_manufacturer,missing manufacturer,Mouser,5,102305,0,sourced_mouser,Mouser can cover full required quantity.,unmatched,No PartsBox part matched MPN/manufacturer.
